epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,14425.2,0.73941,0.56793,1.19848,0.83486,0.61545,0.69606,0.44667,1.64095,1.50137,2.16181,0.007525,0.007525,0.007525
77,14614.2,0.73053,0.55545,1.19215,0.76965,0.64095,0.66827,0.41731,1.64882,1.61209,2.16072,0.007492,0.007492,0.007492
78,14803.6,0.72785,0.55994,1.1894,0.7726,0.58823,0.64458,0.40405,1.70734,1.69302,2.2052,0.007459,0.007459,0.007459
79,14993.1,0.72578,0.54362,1.18666,0.7814,0.60454,0.6529,0.40967,1.64966,1.64897,2.11482,0.007426,0.007426,0.007426
80,15182.1,0.73111,0.56316,1.18938,0.80779,0.58573,0.6524,0.41313,1.66436,1.7013,2.16636,0.007393,0.007393,0.007393
81,15371.5,0.72921,0.55202,1.18406,0.75146,0.56988,0.65918,0.40749,1.66394,1.5887,2.1685,0.00736,0.00736,0.00736
82,15560.5,0.7102,0.53086,1.17692,0.73922,0.58336,0.63812,0.40967,1.66461,1.73824,2.15282,0.007327,0.007327,0.007327
83,15749.4,0.72043,0.53587,1.1853,0.80269,0.57781,0.66463,0.41053,1.6687,1.66543,2.18402,0.007294,0.007294,0.007294
84,15938.3,0.71444,0.54244,1.18481,0.76552,0.61175,0.66845,0.4151,1.62849,1.76354,2.10215,0.007261,0.007261,0.007261
85,16127.6,0.71002,0.5391,1.17795,0.77303,0.57466,0.66452,0.41332,1.63977,1.74116,2.18564,0.007228,0.007228,0.007228
86,16317.3,0.71186,0.53126,1.173,0.83099,0.58778,0.66963,0.41906,1.62386,1.66103,2.09823,0.007195,0.007195,0.007195
87,16506.5,0.70637,0.52904,1.16847,0.76624,0.61533,0.67467,0.42578,1.67091,1.67433,2.15951,0.007162,0.007162,0.007162
