epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,19880.9,0.67949,0.5253,1.17422,0.80197,0.58268,0.67727,0.42701,1.6469,1.59188,2.21457,0.000280471,0.000280471,0.000280471
69,20088.3,0.68012,0.53842,1.17732,0.70481,0.61287,0.67305,0.42905,1.59255,1.52063,2.1219,0.000272224,0.000272224,0.000272224
70,20294.2,0.69241,0.53493,1.17807,0.78365,0.58804,0.67962,0.4303,1.61336,1.60043,2.15208,0.000263978,0.000263978,0.000263978
71,20491.5,0.66931,0.51955,1.17038,0.83477,0.57647,0.69108,0.44041,1.54257,1.51154,2.08546,0.000255731,0.000255731,0.000255731
72,20696.1,0.65961,0.50727,1.15803,0.75252,0.58415,0.67692,0.42636,1.61808,1.65894,2.14651,0.000247484,0.000247484,0.000247484
73,20901.9,0.65779,0.50191,1.15929,0.71693,0.62758,0.68197,0.43615,1.61908,1.44942,2.16424,0.000239238,0.000239238,0.000239238
74,21108.5,0.65012,0.49712,1.14983,0.77124,0.58589,0.68773,0.43444,1.59024,1.46141,2.15951,0.000230991,0.000230991,0.000230991
75,21316.2,0.64274,0.49319,1.14714,0.76784,0.56053,0.67973,0.43179,1.62821,1.5114,2.20117,0.000222744,0.000222744,0.000222744
76,21524.8,0.63858,0.49665,1.14903,0.8032,0.58005,0.69291,0.45112,1.56185,1.43944,2.15533,0.000214497,0.000214497,0.000214497
77,21734.5,0.63253,0.48555,1.14535,0.70963,0.62086,0.68438,0.44142,1.61831,1.53615,2.19542,0.000206251,0.000206251,0.000206251
78,21941.1,0.62224,0.48335,1.13437,0.68214,0.63729,0.68727,0.44636,1.59865,1.51845,2.19421,0.000198004,0.000198004,0.000198004
79,22147.2,0.62355,0.4738,1.13307,0.77435,0.59814,0.68991,0.44398,1.60044,1.53792,2.18009,0.000189757,0.000189757,0.000189757
